Massachusetts,0.961
New Hampshire,0.961
Minnesota,0.960
Colorado,0.958
Hawaii,0.957
Washington,0.957
Connecticut,0.955
Vermont,0.955
District of Columbia,0.952
Oregon,0.949
New Jersey,0.948
Virginia,0.948
Maryland,0.947
North Dakota,0.945
Rhode Island,0.945
New York,0.942
Utah,0.942
Nebraska,0.941
Wyoming,0.941
Alaska,0.940
California,0.940
Illinois,0.940
Maine,0.940
South Dakota,0.940
Wisconsin,0.939
Pennsylvania,0.938
Florida,0.935
Iowa,0.934
Montana,0.934
Delaware,0.933
Kansas,0.931
Idaho,0.927
Michigan,0.923
Nevada,0.921
Ohio,0.919
North Carolina,0.918
Arizona,0.917
Texas,0.917
Georgia,0.915
Missouri,0.915
Indiana,0.913
South Carolina,0.904
Tennessee,0.904
Oklahoma,0.902
Guam,0.901
New Mexico,0.895
U.S. Virgin Islands,0.894
Louisiana,0.892
Arkansas,0.890
Kentucky,0.890
Alabama,0.887
West Virginia,0.880
Puerto Rico,0.879
Northern Mariana Islands,0.875
Mississippi,0.868
American Samoa,0.827
